,Territory,County,subcategory,BRAND,QTY_KG_RTM,QTY_KG_RTM_NORM_BRANDWISE,QTY_SHARE_REGION_BRAND,White Space Score,WEIGHT,AWS,overall_coverage_pct,Opportunity Score
166,CENTRAL,MERU,fat,DIRIA,5052.0,0.063136533,0.175723267,47.16697108,0.523038605,24.67014677,15.17,20.927685504991
167,CENTRAL,MERU,fat,FRYKING,12.0,0.0,0.004382761,48.03585969,0.0,0.0,15.17,0.0
168,CENTRAL,MERU,fat,FRYMATE,6796.0,0.191967365,0.178412038,37.92318682,0.490377324,18.59667089,15.17,15.775555915987
169,CENTRAL,MERU,fat,MPISHI POA,954.3295,0.041762051,0.042641215,41.53469221,0.072731019,3.020860479,15.17,2.5625959443357003
170,CENTRAL,MERU,glycerine,DIVA,137.192625,0.087143386,0.229811893,50.01920131,1.0,50.01920131,15.17,42.431288471273
171,CENTRAL,MERU,glycerine,SAWA,1048.83591,0.008295896,0.006874926,50.01920131,0.8550038,42.76660721,15.17,36.278912896243
172,CENTRAL,MERU,handwash,SAWA,43.18,0.000341054,0.000283037,50.01920131,1.0,50.01920131,15.17,42.431288471273
173,CENTRAL,MERU,hotel soap,HOTEL SOAP,14.0,0.112149533,0.15136226,55.89258261,0.269662921,15.07215711,15.17,12.785710876413
174,CENTRAL,MERU,lotion,BELLEZA,1769.966042,0.526824639,0.222467043,50.01920131,1.0,50.01920131,15.17,42.431288471273
175,CENTRAL,MERU,lotion,FRESCO,1332.902958,0.583228,0.239460311,50.01920131,1.0,50.01920131,15.17,42.431288471273
176,CENTRAL,MERU,margarine,ONJA,805.75,0.177926311,0.182378904,95.89977833,0.67867678,65.0849528,15.17,55.21156546024
177,CENTRAL,MERU,milking jelly,SAWA,4116.376833,0.032560461,0.026982093,68.53715579,1.0,68.53715579,15.17,58.140069256657
178,CENTRAL,MERU,oil,FRESH FRI,49078.7385,0.278069413,0.178046025,44.40835361,0.797000962,35.39350053,15.17,30.024306499599
179,CENTRAL,MERU,oil,POPCO,31897.492,0.2733279,0.180705637,44.00430178,0.419810164,18.47345315,15.17,15.671030307145001
180,CENTRAL,MERU,oil,SALIT,241030.6827,1.0,0.213681815,33.57641678,1.0,33.57641678,15.17,28.482874354474003
181,CENTRAL,MERU,petroleum jelly,SAWA,193.43875,0.001529616,0.001267955,68.53715579,0.789519348,54.11141052,15.17,45.902709544116
182,CENTRAL,MERU,toilet soap,SAWA,35392.32494,0.27995644,0.231990181,43.84369783,1.0,43.84369783,15.17,37.19260886918901
